Venue,Bat First,Bat Second,Winner
Shere Bangla National Stadium,West Indies,Bangladesh,West Indies
M Chinnaswamy Stadium,India,Pakistan,Pakistan
Sardar Patel Stadium,India,Pakistan,India
ICC Global Cricket Academy,Kenya,Canada,Canada
ICC Global Cricket Academy,Kenya,Canada,Kenya
Sharjah Cricket Stadium,Afghanistan,Scotland,Afghanistan
Sharjah Cricket Stadium,Scotland,Afghanistan,Afghanistan
Wanderers Cricket Ground,Netherlands,Kenya,Kenya
Sir Vivian Richards Stadium,Zimbabwe,West Indies,West Indies
Sir Vivian Richards Stadium,West Indies,Zimbabwe,West Indies
Pallekele International Cricket Stadium,Sri Lanka,Bangladesh,Sri Lanka
Queens Sports Club,Zimbabwe,Bangladesh,Zimbabwe
Queens Sports Club,Bangladesh,Zimbabwe,Bangladesh
Wanderers Cricket Ground,Netherlands,Kenya,Kenya
R Premadasa Stadium,South Africa,Sri Lanka,South Africa
Mahinda Rajapaksa International Cricket Stadium,South Africa,Sri Lanka,South Africa
Mahinda Rajapaksa International Cricket Stadium,South Africa,Sri Lanka,Sri Lanka
Bellerive Oval,Australia,England,Australia
Melbourne Cricket Ground,England,Australia,Australia
Stadium Australia,Australia,England,Australia
Kensington Oval,West Indies,England,West Indies
Kensington Oval,England,West Indies,West Indies
Kensington Oval,England,West Indies,England
Arnos Vale Ground,West Indies,Pakistan,Pakistan
Arnos Vale Ground,Pakistan,West Indies,Pakistan
Saurashtra Cricket Association Stadium,Australia,India,India
Kingsmead,South Africa,Australia,Australia
SuperSport Park,South Africa,Australia,Australia
Dubai International Cricket Stadium,Pakistan,South Africa,South Africa
Dubai International Cricket Stadium,South Africa,Pakistan,South Africa
Sharjah Cricket Stadium,Afghanistan,Pakistan,Pakistan
Dubai International Cricket Stadium,Sri Lanka,Pakistan,Pakistan
Dubai International Cricket Stadium,Sri Lanka,Pakistan,Sri Lanka
Harare Sports Club,Pakistan,Zimbabwe,Pakistan
Harare Sports Club,Pakistan,Zimbabwe,Pakistan
Sharjah Cricket Stadium,Afghanistan,Netherlands,Netherlands
Sheikh Zayed Stadium,Ireland,Canada,Ireland
Sharjah Cricket Stadium,Afghanistan,Scotland,Afghanistan
ICC Academy,Kenya,Scotland,Kenya
ICC Academy,Scotland,Netherlands,Scotland
ICC Academy,Netherlands,Kenya,Netherlands
Sharjah Cricket Stadium,Afghanistan,Kenya,Afghanistan
Sharjah Cricket Stadium,Kenya,Canada,Kenya
Sheikh Zayed Stadium,Scotland,Netherlands,Netherlands
Sheikh Zayed Stadium,Ireland,Afghanistan,Ireland
Eden Park,New Zealand,West Indies,New Zealand
Westpac Stadium,West Indies,New Zealand,New Zealand
Sharjah Cricket Stadium,Afghanistan,Kenya,Afghanistan
Sharjah Cricket Stadium,Kenya,Afghanistan,Kenya
Edgbaston,England,India,England
Kennington Oval,Sri Lanka,England,Sri Lanka
Shere Bangla National Stadium,New Zealand,Bangladesh,New Zealand
